Stock,Day,Month,Year,Open,High,Low,Close
AMZN,08,Jul,2020,3022.610107,3083.969971,3012.429932,3081.110107
AMZN,09,Jul,2020,3115.989990,3193.879883,3074.000000,3182.629883
AMZN,10,Jul,2020,3191.760010,3215.000000,3135.699951,3200.000000
AMZN,13,Jul,2020,3251.060059,3344.290039,3068.389893,3104.000000
AMZN,14,Jul,2020,3089.000000,3127.379883,2950.000000,3084.000000
AMZN,15,Jul,2020,3080.229980,3098.350098,2973.179932,3008.870117
AMZN,16,Jul,2020,2971.060059,3032.000000,2918.229980,2999.899902
AMZN,17,Jul,2020,3009.000000,3024.000000,2948.449951,2961.969971
AMZN,20,Jul,2020,3000.199951,3201.360107,2994.020020,3196.840088
AMZN,21,Jul,2020,3232.489990,3240.580078,3105.719971,3138.290039
AMZN,22,Jul,2020,3125.000000,3150.000000,3065.260010,3099.909912
AMZN,23,Jul,2020,3098.270020,3098.270020,2970.000000,2986.550049
AMZN,24,Jul,2020,2930.000000,3031.580078,2888.000000,3008.909912
AMZN,27,Jul,2020,3062.000000,3098.000000,3015.770020,3055.209961
AMZN,28,Jul,2020,3054.270020,3077.090088,2995.760010,3000.330078
AMZN,29,Jul,2020,3030.989990,3039.159912,2996.770020,3033.530029
AMZN,30,Jul,2020,3014.000000,3092.000000,3005.000000,3051.879883
AMZN,31,Jul,2020,3244.000000,3246.820068,3151.000000,3164.679932
AMZN,03,Aug,2020,3180.510010,3184.000000,3104.000000,3111.889893
AMZN,04,Aug,2020,3101.209961,3167.239990,3101.209961,3138.830078
AMZN,05,Aug,2020,3143.770020,3213.590088,3127.300049,3205.030029
AMZN,06,Aug,2020,3194.360107,3247.469971,3165.429932,3225.000000
AMZN,07,Aug,2020,3224.010010,3240.810059,3140.669922,3167.459961
AMZN,10,Aug,2020,3170.310059,3172.510010,3101.520020,3148.159912
AMZN,11,Aug,2020,3113.199951,3159.219971,3073.000000,3080.669922
AMZN,12,Aug,2020,3108.000000,3174.389893,3101.419922,3162.239990
AMZN,13,Aug,2020,3182.989990,3217.520020,3155.000000,3161.020020
AMZN,14,Aug,2020,3178.179932,3178.239990,3120.000000,3148.020020
AMZN,17,Aug,2020,3173.120117,3194.969971,3154.179932,3182.409912
AMZN,18,Aug,2020,3212.000000,3320.000000,3205.820068,3312.489990
AMZN,19,Aug,2020,3303.010010,3315.899902,3256.000000,3260.479980
AMZN,20,Aug,2020,3252.000000,3312.620117,3238.000000,3297.370117
AMZN,21,Aug,2020,3295.000000,3314.399902,3275.389893,3284.719971
AMZN,24,Aug,2020,3310.149902,3380.320068,3257.560059,3307.459961
AMZN,25,Aug,2020,3294.989990,3357.399902,3267.000000,3346.489990
AMZN,26,Aug,2020,3351.110107,3451.739990,3344.570068,3441.850098
AMZN,27,Aug,2020,3450.050049,3453.000000,3378.000000,3400.000000
AMZN,28,Aug,2020,3423.000000,3433.370117,3386.500000,3401.800049
AMZN,31,Aug,2020,3408.989990,3495.000000,3405.000000,3450.959961
—,—,—,—,—,—,—,—
AMZN,01,Sep,2020,3489.580078,3513.870117,3467.000000,3499.120117
AMZN,02,Sep,2020,3547.000000,3552.250000,3486.689941,3531.449951
AMZN,03,Sep,2020,3485.000000,3488.409912,3303.000000,3368.000000
AMZN,04,Sep,2020,3318.000000,3381.500000,3111.129883,3294.620117
AMZN,08,Sep,2020,3144.000000,3250.850098,3130.000000,3149.840088
AMZN,09,Sep,2020,3202.989990,3303.179932,3185.000000,3268.610107
AMZN,10,Sep,2020,3307.219971,3349.889893,3170.550049,3175.110107
AMZN,11,Sep,2020,3208.689941,3217.340088,3083.979980,3116.219971
AMZN,14,Sep,2020,3172.939941,3187.389893,3096.000000,3102.969971
AMZN,15,Sep,2020,3136.159912,3175.020020,3108.919922,3156.129883
AMZN,16,Sep,2020,,,,
AMZN,17,Sep,2020,3009.250000,3029.429932,2972.550049,3008.729980
AMZN,18,Sep,2020,3031.739990,3037.800049,2905.540039,2954.909912
AMZN,21,Sep,2020,2906.500000,2962.000000,2871.000000,2960.469971
AMZN,22,Sep,2020,3033.840088,3133.989990,3000.199951,3128.989990
AMZN,23,Sep,2020,3120.429932,3127.000000,2992.379883,2999.860107
AMZN,24,Sep,2020,2977.790039,3069.300049,2965.000000,3019.790039
AMZN,25,Sep,2020,3054.860107,3101.540039,2999.000000,3095.129883
AMZN,28,Sep,2020,,,,
AMZN,29,Sep,2020,3175.389893,3188.260010,3132.540039,3144.879883
AMZN,30,Sep,2020,3141.139893,3212.879883,3133.989990,3148.729980
—,—,—,—,—,—,—,—
AMZN,01,Oct,2020,3208.000000,3224.000000,3172.000000,3221.260010
AMZN,02,Oct,2020,3153.629883,3195.800049,3123.000000,3125.000000
AMZN,05,Oct,2020,3145.840088,3202.530029,3140.850098,3199.199951
AMZN,06,Oct,2020,3165.000000,3182.000000,3090.000000,3099.959961
AMZN,07,Oct,2020,3135.000000,3200.000000,3132.389893,3195.689941
AMZN,08,Oct,2020,3224.989990,3233.290039,3174.989990,3190.550049
AMZN,09,Oct,2020,3210.000000,3288.989990,3197.830078,3286.649902
AMZN,12,Oct,2020,3349.939941,3496.239990,3339.550049,3442.929932
AMZN,13,Oct,2020,3467.989990,3492.379883,3424.219971,3443.629883
AMZN,14,Oct,2020,3447.000000,3464.879883,3340.000000,3363.709961
AMZN,15,Oct,2020,3292.010010,3355.879883,3280.000000,3338.649902
AMZN,16,Oct,2020,3363.229980,3399.659912,3160.000000,3272.709961
AMZN,19,Oct,2020,3299.610107,3329.000000,3192.739990,3207.209961
AMZN,20,Oct,2020,3222.280029,3266.000000,3192.010010,3217.010010
AMZN,21,Oct,2020,3212.500000,3233.879883,3160.000000,3184.939941
AMZN,22,Oct,2020,3189.870117,3198.750000,3121.939941,3176.399902
AMZN,23,Oct,2020,3191.000000,3205.330078,3140.000000,3204.399902
AMZN,26,Oct,2020,3198.739990,3282.979980,3153.300049,3207.040039
AMZN,27,Oct,2020,3224.939941,3291.659912,3211.300049,3286.330078
AMZN,28,Oct,2020,3249.300049,3264.020020,3162.469971,3162.780029
AMZN,29,Oct,2020,,,,
AMZN,30,Oct,2020,3157.750000,3167.000000,3019.000000,3036.149902
AMZN,02,Nov,2020,3061.739990,3079.709961,2950.120117,3004.479980
AMZN,03,Nov,2020,3018.530029,3074.899902,2980.979980,3048.409912
AMZN,04,Nov,2020,3159.989990,3244.850098,3139.729980,3241.159912
AMZN,05,Nov,2020,3319.969971,3366.800049,3288.879883,3322.000000
AMZN,06,Nov,2020,3304.639893,3322.000000,3232.000000,3311.370117
AMZN,09,Nov,2020,3231.030029,3289.000000,3112.110107,3143.739990
AMZN,10,Nov,2020,3095.020020,3114.000000,3019.479980,3035.020020
AMZN,11,Nov,2020,3061.780029,3139.149902,3050.000000,3137.389893
AMZN,12,Nov,2020,3159.949951,3175.879883,3086.050049,3110.280029
